user_id,group,click,completed,time_spent,page_views,steps_reached,bounce
166,A,1,1,104.94,6,5,0
167,B,1,0,20.77,2,3,0
168,A,1,1,107.0,7,5,0
169,A,0,1,117.88,1,6,0
170,B,1,1,137.46,8,5,0
171,B,0,0,34.03,4,1,0
172,A,1,1,101.5,11,5,0
173,A,0,1,90.0,4,6,0
174,B,1,1,123.05,1,4,0
175,B,0,0,29.17,1,3,0
176,B,1,0,29.12,6,1,0
177,A,1,1,115.42,2,5,0
178,A,1,0,37.9,3,4,0
179,A,1,1,109.48,2,6,0
180,A,1,1,105.4,1,6,0
181,A,1,0,22.19,1,2,0
182,A,0,0,24.87,3,2,0
183,B,1,0,26.03,3,1,0
184,A,1,1,109.44,7,6,0
185,A,1,1,113.41,6,5,0
186,A,1,1,110.52,6,5,0
187,B,1,0,33.75,1,3,0
188,A,1,1,113.2,7,5,0
189,A,1,1,90.0,4,6,0
190,B,1,0,34.82,3,3,0
191,A,1,1,99.95,4,6,0
192,A,1,0,16.33,4,3,0
193,A,1,1,94.75,7,6,0
194,A,1,1,113.2,4,5,0
195,A,0,1,105.33,6,5,0
196,B,1,0,20.91,1,1,0
197,B,0,0,33.87,2,3,0
198,B,1,0,22.36,2,2,0
199,A,0,0,24.98,3,4,0
200,A,0,0,25.67,2,2,0
201,A,1,0,30.2,2,4,0
202,B,0,0,40.0,2,2,0
203,A,1,1,91.62,4,5,0
204,A,1,1,107.37,3,6,0
205,B,0,0,29.34,1,2,0
206,A,0,0,27.04,2,2,0
207,B,1,1,130.16,1,4,0
208,B,1,0,28.88,1,1,0
209,B,1,1,123.59,2,4,0
210,A,1,0,16.18,3,2,0
211,A,0,0,30.92,2,3,0
212,A,1,1,113.51,3,5,0
213,A,1,1,119.01,9,6,0
214,A,1,1,104.28,4,6,0
215,A,1,1,100.12,8,6,0
216,A,1,0,16.45,1,3,0
217,B,0,0,33.15,2,2,0
218,A,0,1,95.52,5,5,0
219,B,0,0,40.0,2,1,0
220,A,1,0,14.85,2,2,1
221,A,0,0,25.92,2,4,0
222,A,0,1,126.8,8,6,0
223,B,0,0,34.59,1,1,0
224,B,1,0,32.05,3,2,0
225,B,1,0,25.19,1,3,0
226,B,1,1,114.18,4,4,0
227,A,1,1,117.24,2,5,0
228,B,1,1,143.06,6,4,0
229,A,1,0,20.93,2,4,0
230,A,1,1,94.33,6,6,0
231,B,0,0,16.25,2,2,0
232,B,1,1,118.19,4,4,0
233,B,1,1,126.86,3,5,0
234,B,0,1,143.99,4,5,0
235,B,0,0,35.04,2,2,0
236,B,0,0,32.83,1,3,0
237,B,0,1,124.0,2,5,0
238,B,0,0,27.5,3,3,0
239,A,0,1,124.87,4,6,0
240,B,1,1,130.01,3,4,0
241,B,1,0,18.38,1,1,0
242,A,1,1,99.92,6,6,0
243,B,1,0,25.85,1,2,0
244,A,1,1,101.44,5,5,0
245,A,1,1,114.75,4,6,0
246,B,0,0,30.36,2,3,0
247,A,1,1,107.08,2,5,0
248,A,1,1,123.76,8,6,0
249,A,0,0,19.12,4,4,0
250,A,1,1,130.37,6,6,0
251,B,1,1,121.29,4,5,0
252,A,1,1,109.07,6,5,0
253,B,1,1,125.19,4,5,0
254,A,1,1,109.48,7,5,0
255,A,0,0,27.11,2,3,0
256,A,1,1,113.21,4,5,0
257,A,1,1,98.96,7,6,0
258,B,0,1,116.77,2,4,0
259,B,0,1,150.0,8,4,0
260,A,1,1,102.19,3,5,0
261,A,1,1,116.39,9,5,0
262,B,1,1,111.92,4,4,0
263,A,1,1,104.64,8,5,0
264,A,1,1,106.47,4,5,0
265,A,1,1,113.67,2,5,0
266,B,0,0,14.67,3,2,1
267,B,0,0,32.0,3,3,0
268,B,1,1,116.5,3,5,0
269,A,1,1,111.89,9,6,0
270,A,1,1,95.56,4,6,0
271,B,1,1,119.45,3,4,0
272,B,1,0,29.36,1,1,0
273,B,0,0,24.69,4,2,0
274,B,1,1,123.24,5,4,0
275,A,1,1,93.68,7,6,0
276,B,1,1,109.67,2,4,0
277,A,1,1,120.22,4,6,0
278,B,1,0,23.22,1,1,0
279,A,1,0,22.75,3,2,0
280,B,1,1,135.53,4,5,0
281,B,1,1,121.85,4,5,0
282,B,0,0,26.05,2,3,0
283,B,0,1,130.26,1,4,0
284,A,0,0,31.83,3,3,0
285,B,0,1,116.31,6,5,0
286,A,1,1,106.2,6,6,0
287,A,0,0,11.87,5,2,1
288,A,1,0,21.25,1,4,0
289,A,0,0,24.24,2,2,0
290,B,0,0,25.87,2,3,0
291,A,0,0,20.8,2,3,0
292,A,0,0,14.14,3,3,1
293,A,1,1,108.92,6,6,0
294,B,1,0,37.33,2,3,0
295,B,1,0,24.42,4,2,0
296,B,0,0,27.26,1,1,0
297,B,1,0,34.02,4,2,0
298,A,1,1,122.55,4,5,0
299,A,0,0,13.55,3,3,1
300,B,1,1,126.31,5,4,0
301,A,0,0,25.98,3,3,0
302,A,0,0,23.29,4,4,0
303,A,0,1,90.0,7,5,0
304,B,0,0,34.01,1,2,0
305,B,0,0,40.0,1,2,0
306,A,0,0,24.82,4,4,0
307,B,0,0,24.81,2,2,0
308,B,1,0,27.92,3,2,0
309,B,1,1,145.7,4,5,0
310,B,0,0,36.46,3,1,0
311,B,1,1,134.4,4,5,0
312,A,1,1,112.28,6,6,0
313,B,0,0,27.03,1,3,0
314,A,1,1,105.59,8,5,0
315,A,1,1,107.06,3,5,0
316,B,0,0,34.3,2,3,0
317,A,1,1,126.11,7,6,0
318,A,1,0,31.83,5,3,0
319,A,1,0,14.06,1,4,1
320,B,1,0,32.34,3,1,0
321,B,0,0,35.42,2,3,0
322,A,1,1,115.43,4,5,0
323,B,0,0,27.22,2,1,0
324,B,1,0,40.0,4,1,0
325,B,1,1,115.23,4,4,0
326,B,0,1,117.17,2,4,0
327,A,0,1,110.8,4,6,0
328,A,1,1,133.4,3,6,0
329,B,1,0,25.98,1,2,0
330,B,1,1,125.34,6,5,0
331,A,1,1,120.93,3,5,0
332,A,1,1,107.79,7,5,0
333,B,1,1,124.65,4,4,0
334,A,1,0,27.96,4,4,0
335,B,1,1,130.73,2,4,0
336,B,0,0,37.18,2,1,0
337,A,0,1,123.5,7,5,0
338,A,1,1,111.68,3,5,0
339,B,0,0,32.75,2,2,0
340,B,1,0,32.28,1,2,0
341,A,1,1,113.87,8,5,0
342,B,0,0,31.33,1,1,0
343,A,0,0,24.0,7,3,0
344,B,0,0,38.18,2,1,0
345,A,1,0,34.61,3,2,0
346,A,1,1,90.0,3,5,0
347,A,0,1,108.12,2,6,0
348,B,1,1,121.11,9,5,0
349,B,0,0,29.13,1,3,0
350,A,1,1,112.83,7,6,0
351,B,0,0,35.02,2,1,0
352,A,1,1,106.65,4,6,0
353,A,1,0,10.61,1,4,1
354,B,0,0,25.21,1,2,0
355,B,1,1,136.96,5,4,0
356,A,1,1,90.0,7,5,0
357,B,1,1,139.87,3,4,0
358,B,1,1,133.21,1,4,0
359,A,1,1,123.79,4,6,0
360,A,1,1,105.62,8,6,0
361,B,0,0,18.63,1,2,0
362,A,1,1,113.16,3,6,0
363,A,0,0,32.92,6,4,0
364,B,0,0,36.55,2,1,0
365,A,1,1,100.05,5,5,0
366,A,1,0,24.61,2,2,0
367,B,1,1,122.67,6,4,0
368,B,0,0,26.08,3,3,0
369,A,1,1,119.46,3,5,0
370,A,1,1,93.63,5,5,0
371,B,0,1,119.06,5,5,0
372,B,0,0,24.38,1,2,0
373,B,0,1,113.1,4,4,0
374,B,1,0,31.88,1,2,0
375,A,0,0,32.13,2,4,0
376,B,1,1,126.15,4,4,0
377,B,1,0,21.97,3,1,0
378,A,1,1,118.08,7,5,0
379,B,0,0,40.0,2,1,0
380,A,1,1,100.25,6,5,0
381,B,1,1,123.21,4,4,0
382,B,0,0,34.09,3,3,0
383,B,1,1,144.22,3,4,0
384,A,1,0,20.36,2,2,0
385,A,1,1,92.01,7,5,0
386,B,0,1,134.31,8,5,0
387,A,1,1,117.59,5,5,0
388,A,1,1,108.07,4,5,0
389,A,0,0,20.09,1,3,0
390,A,0,0,30.96,1,4,0
391,A,1,1,114.34,4,5,0
392,A,0,0,18.62,5,2,0
393,B,0,1,128.49,2,4,0
394,B,0,0,22.89,2,1,0
395,A,1,1,116.23,3,5,0
396,B,0,1,125.38,9,4,0
397,B,0,0,28.39,1,1,0
398,B,1,1,127.67,2,5,0
399,B,1,1,128.4,3,5,0
400,A,1,0,30.26,1,4,0
401,B,1,0,34.55,1,3,0
402,B,0,0,30.06,1,1,0
403,A,1,1,117.16,7,6,0
404,A,1,0,26.81,4,2,0
405,B,0,0,28.44,1,1,0
406,B,1,0,30.25,2,3,0
407,B,0,0,30.11,2,3,0
408,B,1,0,34.03,1,3,0
409,B,1,1,124.33,5,4,0
410,B,1,1,124.1,7,4,0
411,A,1,0,37.78,4,3,0
412,B,1,1,137.4,5,4,0
413,B,0,0,26.44,3,1,0
414,A,0,0,28.0,1,3,0
415,A,1,1,109.42,4,6,0
416,A,1,1,112.7,5,5,0
417,A,0,1,109.65,5,6,0
418,B,0,0,38.14,2,1,0
419,B,1,1,131.46,6,5,0
420,B,1,1,127.38,2,5,0
421,B,1,0,37.25,1,1,0
422,B,0,0,32.4,1,1,0
423,B,0,0,31.73,1,2,0
424,A,1,1,111.77,6,6,0
425,B,1,0,30.44,1,1,0
426,A,0,0,24.06,1,2,0
427,A,0,1,100.96,5,5,0
428,B,0,1,120.49,4,5,0
429,A,0,1,96.02,5,5,0
430,B,1,1,114.08,4,4,0
431,A,1,0,17.84,1,2,0
432,B,0,0,29.95,1,1,0
433,A,1,1,109.24,8,5,0
434,B,0,0,29.37,1,2,0
435,B,0,0,16.87,3,1,0
436,B,1,1,143.75,5,4,0
437,B,0,0,37.52,3,2,0
438,B,0,0,33.67,1,1,0
439,A,0,0,37.35,2,2,0
440,A,1,1,96.27,2,5,0
441,A,1,1,130.65,6,6,0
442,B,0,0,25.21,3,1,0
443,A,1,0,25.67,6,2,0
444,B,0,0,23.36,1,2,0
445,B,0,0,31.09,3,2,0
446,A,1,1,112.63,5,6,0
447,A,1,1,106.14,9,5,0
448,B,1,0,35.28,3,1,0
449,A,1,0,24.69,1,3,0
450,B,0,0,27.87,1,2,0
451,B,0,1,122.33,3,4,0
452,B,0,0,35.87,2,2,0
453,B,0,0,27.08,1,2,0
454,B,1,1,137.15,3,4,0
455,A,0,1,122.67,2,5,0
456,A,0,0,12.32,3,3,1
457,B,0,0,37.8,2,2,0
458,B,0,1,148.6,5,5,0
459,A,1,1,111.02,6,6,0
460,A,0,0,28.19,2,3,0
461,B,1,0,37.22,2,3,0
462,A,1,1,104.69,9,5,0
463,B,1,1,129.82,8,4,0
464,A,0,0,14.8,2,3,1
465,B,0,0,31.83,5,1,0
466,A,0,0,27.49,3,3,0
467,B,0,0,34.1,3,1,0
468,A,1,1,120.79,4,5,0
469,A,0,0,18.58,2,3,0
470,B,1,0,27.8,1,1,0
471,A,1,0,37.27,4,3,0
472,B,1,0,30.1,2,3,0
473,A,0,0,25.4,1,4,0
474,B,0,1,127.33,5,5,0
475,A,1,1,98.14,9,5,0
476,B,1,1,144.24,4,5,0
477,A,0,1,101.67,5,5,0
478,B,1,0,24.24,1,1,0
479,A,0,1,102.59,4,6,0
480,B,0,0,18.99,2,1,0
481,B,1,1,121.49,4,5,0
482,B,1,1,118.32,5,4,0
483,A,0,1,115.41,2,5,0
484,B,0,0,26.96,3,1,0
485,A,1,1,118.65,8,6,0
486,B,0,1,141.98,2,4,0
487,A,1,0,29.47,2,2,0
488,B,1,1,125.85,2,4,0
489,A,0,1,109.69,4,6,0
490,A,0,1,90.0,7,6,0
491,B,1,0,30.2,2,1,0
492,A,0,0,17.98,3,4,0
493,A,1,1,116.33,2,6,0
494,B,1,1,150.0,5,4,0
495,A,1,1,114.0,3,5,0
496,A,0,0,10.06,1,2,1
497,A,1,1,103.67,8,6,0
498,B,1,1,129.22,4,4,0
499,A,1,0,24.61,1,4,0
500,B,0,0,26.62,1,1,0
501,A,1,1,110.94,7,6,0
502,A,0,1,93.09,3,6,0
503,A,1,1,96.66,4,5,0
504,B,0,1,134.46,6,4,0
505,A,1,1,95.81,6,6,0
506,A,0,0,27.77,1,3,0
507,B,0,0,22.78,4,1,0
508,A,1,1,129.18,6,5,0
509,B,0,0,26.35,1,1,0
510,B,1,1,125.76,13,4,0
511,A,1,0,26.31,4,4,0
512,B,1,1,122.35,3,5,0
513,A,1,1,109.72,4,5,0
514,B,1,1,133.75,3,5,0
515,B,0,0,36.76,2,1,0
516,A,1,1,117.5,6,6,0
517,B,0,0,29.97,1,2,0
518,B,1,0,30.12,1,1,0
519,B,1,1,150.0,8,4,0
520,B,0,1,137.5,5,5,0
521,B,1,1,118.78,4,4,0
522,A,1,0,24.7,2,2,0
523,B,0,1,124.65,1,4,0
524,A,1,1,106.38,4,5,0
525,B,1,1,115.71,1,5,0
526,A,1,1,103.06,6,6,0
527,A,0,1,129.74,4,6,0
528,B,0,0,34.47,1,1,0
529,B,0,0,16.05,2,3,0
530,B,0,1,140.17,2,4,0
531,A,1,1,121.08,3,6,0
532,B,1,0,28.84,2,3,0
533,A,0,0,29.02,5,4,0
534,A,1,1,97.69,8,5,0
535,A,1,0,20.71,1,3,0
536,B,1,1,142.99,2,5,0
537,B,1,1,125.28,4,4,0
538,A,0,1,90.0,6,6,0
539,A,1,1,107.24,6,5,0
540,B,1,0,30.53,2,3,0
541,A,1,0,32.39,5,2,0
542,B,0,0,31.09,1,1,0
543,A,1,1,102.94,7,5,0
544,B,1,0,37.27,3,1,0
545,A,0,0,24.85,4,2,0
546,B,0,0,26.5,1,3,0
547,A,1,1,121.86,4,6,0
548,B,1,1,129.94,3,5,0
549,B,1,0,31.02,4,1,0
550,A,1,1,110.13,4,6,0
551,A,1,1,95.15,3,6,0
552,B,1,1,122.72,5,4,0
553,A,1,0,24.03,5,4,0
554,B,1,0,29.83,1,3,0
555,A,1,0,32.91,6,3,0
556,B,0,0,32.3,1,1,0
557,B,0,0,36.13,1,3,0
558,B,1,1,128.09,9,4,0
559,B,1,1,138.56,6,4,0
560,B,0,0,33.39,1,3,0
561,B,1,0,31.08,4,1,0
562,A,1,1,107.84,4,6,0
563,A,1,0,17.32,8,4,0
564,A,1,1,114.08,9,6,0
565,B,0,1,127.6,3,4,0
566,B,1,1,122.98,3,4,0
567,B,1,1,139.06,3,5,0
568,B,0,0,23.5,4,3,0
569,A,1,1,102.93,7,6,0
570,A,1,1,120.33,6,5,0
571,B,0,0,32.89,1,1,0
572,A,1,1,107.43,8,5,0
573,A,1,1,111.01,7,5,0
574,B,1,0,32.08,2,2,0
575,A,1,0,13.38,1,2,1
576,B,0,0,28.9,2,3,0
577,A,0,1,127.4,6,5,0
578,B,1,0,27.04,3,3,0
579,B,1,1,124.82,3,5,0
580,B,0,0,27.75,1,1,0
581,B,0,0,30.48,2,3,0
582,A,0,0,19.92,4,3,0
583,B,1,1,132.87,4,4,0
584,B,0,0,32.18,5,1,0
585,B,0,0,35.64,1,1,0
586,A,0,1,95.39,8,6,0
587,B,1,0,28.96,3,1,0
588,A,1,1,105.29,4,5,0
589,B,0,0,33.73,3,2,0
590,A,1,0,18.45,7,3,0
591,A,1,0,30.41,1,4,0
592,B,0,0,38.12,3,2,0
593,A,1,1,96.13,8,6,0
594,B,0,1,123.09,4,5,0
595,B,1,1,122.68,3,4,0
596,B,0,1,150.0,3,5,0
597,A,0,0,20.99,3,4,0
598,A,1,1,128.13,6,5,0
599,B,1,1,115.33,4,5,0
600,B,1,0,25.06,2,1,0
601,A,1,0,19.19,3,2,0
602,B,0,1,119.54,3,4,0
603,B,0,0,29.39,1,3,0
604,B,1,1,120.91,5,4,0
605,A,1,0,18.26,3,3,0
606,A,1,1,121.9,1,6,0
607,A,0,0,32.57,1,3,0
608,B,1,1,137.49,4,4,0
609,B,0,0,34.14,2,2,0
610,B,0,0,31.56,1,3,0
611,A,1,1,102.04,13,6,0
612,B,1,1,118.47,7,4,0
613,B,0,1,131.63,5,5,0
614,B,1,0,23.96,1,1,0
615,B,1,1,118.06,1,4,0
616,A,0,0,32.07,9,4,0
617,A,0,1,130.81,3,5,0
618,B,1,1,131.93,9,4,0
619,A,1,1,121.28,4,6,0
620,A,1,1,105.05,5,6,0
621,B,1,1,114.62,3,5,0
622,B,1,0,34.67,1,1,0
623,A,1,1,114.83,7,6,0
624,B,1,0,31.43,1,3,0
625,A,0,0,22.3,1,2,0
626,B,0,0,36.77,2,1,0
627,A,1,1,96.17,7,6,0
628,B,1,0,26.36,1,3,0
629,A,0,1,95.9,2,5,0
630,A,0,0,24.59,1,3,0
631,A,0,1,94.95,4,5,0
632,B,0,0,26.89,2,3,0
633,A,0,1,99.53,2,5,0
634,A,1,1,104.87,2,6,0
635,B,1,0,22.08,1,2,0
636,B,0,0,31.52,2,1,0
637,A,0,0,32.73,3,3,0
638,A,0,1,109.63,1,5,0
639,B,0,0,40.0,3,3,0
640,B,1,1,141.34,6,5,0
641,B,1,1,135.78,5,4,0
642,B,0,0,31.45,2,2,0
643,B,0,0,31.14,1,1,0
644,A,1,1,117.17,7,6,0
645,B,1,0,28.65,2,1,0
646,A,1,1,90.0,5,6,0
647,A,0,0,27.44,6,4,0
648,A,1,0,16.08,7,4,0
649,B,0,0,25.23,1,2,0
650,A,1,1,108.0,7,6,0
651,A,1,1,106.86,5,6,0
652,B,1,0,22.53,2,3,0
653,A,0,0,25.16,4,4,0
654,A,1,0,30.76,1,2,0
655,B,1,0,24.23,1,3,0
656,A,1,1,123.27,10,6,0
657,A,0,1,90.0,7,5,0
658,A,1,1,133.41,2,6,0
659,B,0,0,28.53,1,3,0
660,B,1,0,31.87,3,1,0
661,B,1,0,19.65,1,1,0
662,A,1,1,107.25,4,5,0
663,A,1,1,110.74,7,5,0
664,B,1,1,127.14,3,5,0
665,A,1,1,101.24,7,5,0
666,A,1,1,96.64,6,5,0
667,B,0,0,37.78,1,2,0
668,B,1,0,31.18,1,3,0
669,A,0,0,34.79,4,3,0
670,A,1,1,101.68,7,5,0
671,A,1,0,20.96,5,4,0
672,B,1,0,35.89,3,3,0
673,B,1,1,111.77,4,4,0
674,B,1,1,115.87,1,4,0
675,B,1,0,37.58,1,3,0
676,A,1,1,93.94,5,5,0
677,B,0,0,20.09,1,2,0
678,B,0,0,40.0,2,2,0
679,B,0,0,22.64,4,2,0
680,B,0,0,32.1,2,1,0
681,B,1,1,128.69,3,5,0
682,A,1,1,90.0,8,5,0
683,A,1,1,104.79,6,5,0
684,B,1,0,33.69,3,2,0
685,A,1,1,112.25,4,6,0
686,B,0,0,36.42,1,1,0
687,B,1,1,124.13,1,5,0
688,A,1,0,28.99,5,4,0
689,A,0,0,19.17,4,4,0
690,B,0,0,22.54,1,1,0
691,B,1,0,23.21,1,3,0
692,B,0,0,22.23,2,1,0
693,A,0,0,31.07,1,4,0
694,B,1,1,112.85,6,4,0
695,B,1,1,130.74,5,5,0
696,B,1,1,125.34,5,4,0
697,A,0,1,106.77,4,6,0
698,B,0,0,39.18,2,3,0
699,B,1,0,28.37,4,1,0
700,A,1,1,115.34,6,6,0
701,B,0,0,31.23,3,3,0
702,B,1,1,126.48,3,5,0
703,A,1,0,40.0,3,4,0
704,B,0,0,22.35,4,2,0
705,A,1,1,123.47,4,6,0
706,A,0,0,28.59,6,4,0
707,B,0,0,28.12,2,3,0
708,B,0,0,40.0,1,2,0
709,B,1,1,109.52,4,4,0
710,B,0,0,27.87,1,2,0
711,A,1,1,93.5,3,6,0
712,B,0,0,33.47,1,3,0
713,A,1,1,94.64,5,6,0
714,B,0,0,33.6,5,1,0
715,B,1,1,126.14,4,4,0
716,B,1,1,123.21,3,5,0
717,A,1,1,112.66,4,6,0
718,B,1,1,125.31,6,5,0
719,B,0,0,24.47,1,1,0
720,B,0,0,40.0,2,2,0
721,B,1,0,28.08,1,2,0
722,A,1,1,90.0,6,6,0
723,B,1,1,119.58,3,5,0
724,A,1,0,15.13,1,2,0
725,A,1,1,117.91,6,5,0
726,A,0,0,26.25,1,3,0
727,A,1,1,112.78,5,6,0
728,A,1,1,103.56,5,6,0
729,A,1,1,104.65,7,5,0
730,B,1,1,124.29,5,4,0
731,A,1,1,107.03,6,6,0
732,A,1,1,118.02,5,6,0
733,A,1,0,26.35,1,3,0
734,B,1,0,34.0,1,1,0
735,B,1,1,133.0,2,4,0
736,A,1,1,118.61,4,5,0
737,B,1,0,32.73,2,2,0
738,A,0,1,112.31,5,6,0
739,A,1,1,122.27,8,5,0
740,B,0,0,27.01,3,2,0
741,A,1,1,97.73,7,5,0
742,B,1,0,23.88,1,1,0
743,B,0,0,32.1,2,3,0
744,A,0,0,11.02,2,4,1
745,A,0,0,27.24,1,4,0
746,B,1,0,30.34,2,1,0
747,A,1,1,121.62,4,6,0
748,A,1,1,99.94,10,5,0
749,A,0,1,105.56,2,5,0
750,B,0,1,139.22,4,4,0
751,B,0,1,141.83,2,5,0
752,A,1,0,19.24,6,4,0
753,B,0,0,32.09,1,2,0
754,B,1,0,32.77,2,2,0
755,B,1,1,131.74,7,5,0
756,B,1,0,29.42,2,2,0
757,B,0,0,38.69,1,2,0
758,A,1,0,10.77,3,3,1
759,A,1,1,102.95,4,6,0
760,A,0,1,113.38,7,5,0
761,B,1,1,132.57,6,4,0
762,B,1,1,141.53,1,4,0
763,A,1,1,122.38,4,5,0
764,B,1,1,125.14,8,4,0
765,A,0,1,123.6,12,6,0
766,A,1,1,99.43,4,6,0
767,A,1,1,119.17,7,6,0
768,B,0,0,40.0,1,2,0
769,B,0,0,38.29,2,2,0
770,A,0,1,109.27,8,5,0
771,A,1,1,104.02,4,5,0
772,A,1,1,90.0,1,6,0
773,A,0,0,26.17,4,4,0
774,B,0,0,24.31,1,2,0
